Time resolution is 1 ps
Test 0: A = 1671559651, B = 1488455947, cin = 0, Sum = -1134951698, cout = 0, Expected_Sum = -1134951698, Expected_cout = 0
Test 37: A = -2116933560, B = 116373628, cin = 1, Sum = -2000559931, cout = 0, Expected_Sum = -2000559931, Expected_cout = 0
Test 38: A = -1183345481, B = -1201192741, cin = 1, Sum = 1910429075, cout = 1, Expected_Sum = 1910429075, Expected_cout = 1
Test 39: A = 648858694, B = -1170642653, cin = 1, Sum = -521783958, cout = 0, Expected_Sum = -521783958, Expected_cout = 0
Test 40: A = 1956288864, B = 1940979162, cin = 0, Sum = -397699270, cout = 0, Expected_Sum = -397699270, Expected_cout = 0
Test 41: A = 1712392449, B = 442354208, cin = 1, Sum = -2140220638, cout = 0, Expected_Sum = -2140220638, Expected_cout = 0
Test 42: A = 1584869662, B = 251159424, cin = 1, Sum = 1836029087, cout = 0, Expected_Sum = 1836029087, Expected_cout = 0
Test 43: A = -1891329513, B = 1963551873, cin = 0, Sum = 72222360, cout = 1, Expected_Sum = 72222360, Expected_cout = 1
Test 44: A = 2051763250, B = 1400937888, cin = 0, Sum = -842266158, cout = 0, Expected_Sum = -842266158, Expected_cout = 0
Test 45: A = 1493384232, B = 1657092023, cin = 0, Sum = -1144491041, cout = 0, Expected_Sum = -1144491041, Expected_cout = 0
Test 46: A = 1377359422, B = 1561371625, cin = 0, Sum = -1356236249, cout = 0, Expected_Sum = -1356236249, Expected_cout = 0
Test 47: A = 1512494036, B = 907272209, cin = 1, Sum = -1875201050, cout = 0, Expected_Sum = -1875201050, Expected_cout = 0
Test 48: A = 1463696876, B = 137147983, cin = 0, Sum = 1600844859, cout = 0, Expected_Sum = 1600844859, Expected_cout = 0
Test 49: A = 668353956, B = 1649642020, cin = 0, Sum = -1976971320, cout = 0, Expected_Sum = -1976971320, Expected_cout = 0
Test 50: A = 1530103059, B = 965855248, cin = 1, Sum = -1799008988, cout = 0, Expected_Sum = -1799008988, Expected_cout = 0
Test 51: A = 1805740140, B = 1634209205, cin = 1, Sum = -855017950, cout = 0, Expected_Sum = -855017950, Expected_cout = 0
Test 52: A = -1306317866, B = 1016828616, cin = 0, Sum = -289489250, cout = 0, Expected_Sum = -289489250, Expected_cout = 0
Test 53: A = 13739407, B = 675085108, cin = 1, Sum = 688824516, cout = 0, Expected_Sum = 688824516, Expected_cout = 0
Test 54: A = -1311528595, B = 1516250890, cin = 1, Sum = 204722296, cout = 1, Expected_Sum = 204722296, Expected_cout = 1
Test 55: A = -1670941349, B = 1529990298, cin = 0, Sum = -140951051, cout = 0, Expected_Sum = -140951051, Expected_cout = 0
Test 56: A = 1751338750, B = -1929021945, cin = 0, Sum = -177683195, cout = 0, Expected_Sum = -177683195, Expected_cout = 0
Test 57: A = 1895480169, B = -1452479646, cin = 0, Sum = 443000523, cout = 1, Expected_Sum = 443000523, Expected_cout = 1
Test 58: A = 567223049, B = -1848624544, cin = 1, Sum = -1281401494, cout = 0, Expected_Sum = -1281401494, Expected_cout = 0
Test 59: A = -1392266828, B = 46855625, cin = 1, Sum = -1345411202, cout = 0, Expected_Sum = -1345411202, Expected_cout = 0
Test 60: A = 325717240, B = -1533404973, cin = 1, Sum = -1207687732, cout = 0, Expected_Sum = -1207687732, Expected_cout = 0
Test 61: A = -2032804284, B = 1369295495, cin = 1, Sum = -663508788, cout = 0, Expected_Sum = -663508788, Expected_cout = 0
Test 62: A = 598645489, B = 1695012735, cin = 0, Sum = -2001309072, cout = 0, Expected_Sum = -2001309072, Expected_cout = 0
Test 63: A = 1381470719, B = 1809692099, cin = 1, Sum = -1103804477, cout = 0, Expected_Sum = -1103804477, Expected_cout = 0
Test 64: A = -2083815722, B = -1886629707, cin = 0, Sum = 324521867, cout = 1, Expected_Sum = 324521867, Expected_cout = 1
Test 65: A = 1507427456, B = 1642324660, cin = 0, Sum = -1145215180, cout = 0, Expected_Sum = -1145215180, Expected_cout = 0
Test 66: A = -2121968463, B = 1705992586, cin = 1, Sum = -415975876, cout = 0, Expected_Sum = -415975876, Expected_cout = 0
